,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
0,15785.5,16054.5,15974.0,15933.5,15660.0,15736.5,16123.0,15914.0,16302.0,16434.5,15980.5,16018.5,16705.0,16046.5,16209.0,15716.5,16052.5,16317.5,16452.5,17148.0,19815.5,26530.0,21122.5,24257.5,25538.5,30791.5,30839.5,34389.5,34551.5,31672.5,33117.0,28831.0,25977.0,23361.5,20873.5,19650.5,18622.5,18410.0,18637.5,18984.0,17998.5,18938.0,18019.5,17650.0,17162.0,18050.0,17666.0,17244.0,17631.5,18486.5,17191.0,18179.5,18584.5,17971.5,17434.0,16660.0,16468.5,15504.0,16179.5,15111.5,15545.0,15314.5,14839.0,14991.0,14559.5,14838.0,14927.5,14257.5,14477.5,14706.0,13614.5,15062.5,14824.0,14972.5,14853.0,15261.0,14901.5,15397.0,14565.5,15076.5,14847.0,15209.5,15321.5,15500.0,14827.0,15273.0,15089.5,15120.5,15386.0,15561.5,hello
1,16672.5,16137.0,15468.0,16039.0,16137.5,16209.5,15544.5,15780.5,16178.0,15834.5,15620.5,16477.0,16107.5,16489.0,20197.0,22096.5,25105.0,21856.5,27051.0,28881.0,31887.5,25858.0,26592.5,32652.5,30013.0,27325.0,22983.5,20024.5,19911.0,19979.5,18151.0,17796.0,18664.5,17906.5,17868.0,17461.5,18189.5,18351.5,18040.0,18417.5,17120.0,18515.5,19518.5,18199.5,16790.0,16812.0,15948.5,15626.5,15227.5,14860.5,14640.0,14618.5,15581.5,15568.0,14667.5,14484.5,13850.0,15368.5,14594.5,14687.5,14188.0,14665.0,14482.5,14869.5,14861.0,14849.0,14460.5,15637.0,15032.5,15148.5,14905.5,14090.0,14661.0,14812.0,14943.5,14769.0,14519.0,15749.0,15595.5,15747.0,15550.5,14742.0,15284.0,14820.0,15307.0,14932.5,15089.0,14749.5,15406.5,15302.0,hello
2,19203.5,19573.0,20859.0,25947.5,30317.5,32269.0,38321.5,39570.0,40409.5,39639.5,39812.5,39238.5,39488.0,38271.0,35405.0,30511.5,25143.0,24936.5,23904.5,22083.5,22865.0,21790.5,21866.0,21669.0,22000.5,22526.0,21885.0,21177.0,21023.5,21247.5,21079.5,21658.0,21086.0,20338.5,20523.0,20691.5,19367.0,19227.0,17932.0,18165.5,17448.5,16892.0,17483.0,17797.5,17266.5,17802.0,17197.5,17832.0,16909.0,17193.5,18171.5,17941.5,17752.0,17536.0,17402.5,17350.0,17045.5,16559.5,16725.0,16260.5,17767.5,16801.0,17739.5,16878.0,16909.0,17593.0,17121.5,18071.0,17499.0,17081.5,17025.5,17405.5,18028.0,17541.0,18291.0,17556.5,17396.0,17185.0,17427.0,18602.5,17920.5,17576.0,17875.5,17920.5,17956.0,17870.5,17859.0,18149.0,18172.5,18576.5,hello
3,34324.0,39000.5,38729.5,39683.5,40279.5,37533.5,39075.5,38696.0,37217.5,33206.0,28149.5,27415.5,24771.5,23042.5,22245.5,22092.0,21133.5,21396.0,21972.0,21062.0,22355.5,21234.5,21810.5,21128.5,20841.5,21169.0,21258.5,21513.0,20737.0,20972.0,21277.0,20227.5,19764.0,20576.0,19876.5,19764.5,19520.0,18866.5,17705.0,17548.0,16892.0,17393.5,17234.0,16856.5,17946.0,18109.5,18236.5,17576.5,18067.0,17814.5,17296.5,17352.5,18023.5,17110.5,17022.5,17969.5,16790.0,18038.0,17564.0,18037.5,17495.5,17747.0,17601.5,17331.5,17917.0,17389.5,18048.0,17925.0,17737.5,18129.5,17849.5,17386.5,17700.5,16736.0,18110.0,17661.5,17865.0,17417.5,17488.5,17214.5,17759.0,16924.5,17366.0,17066.0,17612.0,17232.5,17478.5,18311.0,17230.5,17762.0,hello
4,17841.5,18094.0,17606.5,17907.0,17924.0,18162.0,17655.0,17503.0,18664.0,20212.5,23885.0,27414.5,29123.5,30996.0,31018.5,33030.5,33712.5,32751.5,35353.5,34622.0,35396.5,32951.5,32021.0,29031.0,25572.5,23879.5,21501.5,20206.0,19859.0,18834.5,19971.5,19452.0,18999.0,19266.0,18821.5,18497.0,18507.5,18626.5,18871.5,18511.5,18527.5,19448.5,19572.0,18152.0,19976.0,18878.5,18544.0,18864.5,18976.5,18828.5,18367.5,18017.5,17341.0,17860.5,17251.5,17116.0,16353.0,16974.5,16287.0,16505.0,17014.5,16836.5,17293.0,17068.0,16697.0,17131.5,17365.0,17048.5,16580.0,16926.0,16982.0,16303.0,16666.5,17189.5,16600.0,17230.5,16723.0,16482.0,16339.0,16746.5,16874.5,17058.5,17138.5,17184.5,17246.5,17284.0,17170.5,17140.5,16664.5,16784.0,hello
5,17735.0,17939.0,17717.0,17729.5,17672.0,17927.5,17834.0,17868.5,17408.0,17856.0,17798.5,18327.0,17998.0,17813.5,17490.0,17790.0,17596.5,17973.5,18205.0,18019.5,18031.0,18799.5,21417.0,24992.5,29362.5,31834.5,31963.0,32933.5,33448.5,34195.0,33276.5,33805.5,33315.5,30422.0,26606.5,23614.5,21848.5,21412.0,20323.0,19659.0,19589.5,19889.0,19462.5,19274.0,19429.0,18942.5,18939.5,18718.5,18734.5,18623.5,18820.0,18772.0,18453.0,18429.0,18320.0,18939.0,18578.0,19426.0,19219.5,19060.5,17929.5,18384.5,17899.5,17989.5,18159.0,17341.0,17633.5,16905.0,16814.0,17146.0,16598.5,16856.0,16710.0,16771.0,16554.5,17258.0,16816.5,16315.0,16004.0,16055.0,16152.5,15972.5,15824.0,16683.5,15377.0,16435.0,16403.0,16300.5,16237.0,16664.5,hello
6,17402.5,17759.0,17366.0,18136.0,18088.5,18879.0,21256.0,24808.5,27970.0,32305.5,34029.5,34071.5,33774.0,35509.0,35439.5,36046.0,35286.5,34743.5,30292.0,27516.0,23846.0,20975.5,20171.0,20178.5,19501.0,19372.0,20378.5,20300.0,20534.5,19762.5,19753.0,19530.0,19268.0,19524.0,18625.0,19035.5,19083.0,18935.5,19074.5,18589.5,18490.5,19081.0,18530.5,19016.5,18698.5,18306.0,18356.0,18909.0,18891.5,18342.5,17849.5,17691.0,17661.0,17305.5,16661.0,17633.0,16584.0,16416.0,16304.0,16613.5,16103.5,16188.0,16034.0,15903.5,16399.0,16459.0,16964.0,16957.5,16296.0,16744.0,16809.0,16745.0,16541.0,16333.0,16096.0,16617.5,15747.5,16664.0,16560.0,15783.0,16227.0,16786.0,16242.5,16179.5,16019.0,15971.5,16105.0,16128.5,16231.5,16284.0,hello
7,31702.5,31450.5,33742.5,36290.0,37109.0,35243.0,35210.5,35270.5,37238.5,37304.0,37254.0,37424.5,36489.5,35570.0,33217.0,30007.5,27260.0,24740.0,22394.5,20454.5,20267.5,19532.5,19544.0,18757.5,18966.5,19081.0,18695.5,19492.5,19044.0,18898.5,18560.5,19061.0,18514.5,19368.5,18620.5,18971.0,19363.5,19556.0,19036.0,18825.0,19330.0,18784.0,20027.5,19187.0,18844.0,17499.5,17891.0,17451.0,17332.0,17557.5,17207.5,16700.0,17264.5,17352.5,17310.0,17058.0,17408.5,17354.0,16970.5,16753.0,16920.5,17062.0,16746.5,16385.0,16590.5,16257.5,16631.5,16495.5,16244.5,16299.5,15859.0,16503.5,15880.5,16543.5,15636.5,15815.5,16241.5,16012.5,16009.5,15781.0,16221.5,16334.5,15936.5,16715.5,16640.5,16595.5,16402.5,16663.5,15944.0,16729.5,hello
8,22896.0,27624.5,31040.0,32485.5,33440.0,35128.5,36251.0,36192.5,37547.5,40369.0,39448.0,40395.5,39302.0,39774.5,37802.5,36796.5,33428.0,29059.5,25930.0,23920.0,21195.0,21000.5,19605.5,20626.5,19637.5,19591.0,19744.5,19613.5,20121.5,19285.0,18946.0,19221.0,17593.5,18611.0,19216.0,18463.0,18763.5,19099.5,19651.0,19282.5,19238.5,19090.0,19353.0,19237.5,19353.5,18993.5,18971.0,19872.5,18708.5,18896.0,18800.0,18590.5,18159.5,17292.5,16730.5,17004.5,17282.0,17171.5,17509.5,17354.0,16841.5,17251.5,17040.0,16856.0,16847.5,17444.5,17060.0,17203.5,16448.5,17035.0,17106.0,16962.0,16818.0,17103.0,16870.5,17298.5,17189.0,17038.0,17126.0,16975.0,17476.0,17275.5,16705.5,16371.5,17101.0,16837.5,17197.0,16789.5,16828.0,16883.5,hello
9,40171.0,41437.0,40197.5,39105.5,40448.0,40539.5,39755.0,34741.0,30068.0,25716.0,24464.0,22007.0,19962.5,19211.0,19858.0,18528.5,19427.5,18360.0,20047.5,18045.0,17689.0,18988.0,19161.0,18191.0,17971.0,18390.0,18885.0,17535.0,19051.5,19274.0,20105.5,18272.0,19123.0,18882.0,18640.5,18718.0,19120.0,18385.5,17842.5,17144.5,17514.0,16787.5,17197.5,16212.5,16631.0,16701.5,16623.0,16237.0,16571.5,16439.0,16675.0,16161.5,16258.5,16461.5,15956.5,16004.0,16152.0,15724.0,15641.5,15709.0,15973.5,15619.5,16344.0,15951.5,16281.0,16729.0,16138.0,16711.0,16220.5,16131.0,16194.0,16148.0,16415.0,16499.5,15895.0,15820.0,16272.0,15690.0,16803.0,16200.0,16590.0,16526.0,16464.0,16659.5,16270.5,16497.5,16702.5,16745.0,16698.0,16684.5,hello
